,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.04,4,24.7,2.9,3.5,1,5.6,1.04,5.7,1.26,31.64,0,2.67,49.1%,1.9%,0.1%,0
Marmara University,0.01,0.03,186462,25,0.5,8.4,17127,0.2,1,8.99,1.16,52.77,4709,10.56,36.9%,0%,7.9%,0
University of Tunis El Manar,0.51,0.8,168684,8.3,2.4,10.8,104778,2.6,0.92,12.02,1.01,70.97,62250,18.53,66.7%,8.2%,5.5%,0.13
Obafemi Awolowo University (OAU),0.01,0.05,67103,28.4,0.6,4.4,4637,0.5,0.6,2.83,0.73,44.61,0,1.89,39.6%,0%,0%,0
Rowan University,0.02,0.07,480294,20.3,0.0,7.9,42231,0.0,1.15,6.92,1.27,43.82,484,10.48,27.4%,7.7%,4.3%,0
Chungbuk National University,0.1,0.27,485533,15.2,1.1,12.1,201837,0.2,0.92,13.69,1.09,77.98,18873,48.1,25.9%,3.4%,1.9%,0
Mohammed V University of Rabat,0.13,0.33,86289,28.6,0,6.6,37215,8.3,1.05,9.6,1.24,44.86,23184,2.91,49.8%,3.9%,2.2%,0
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.27,0.17,288126,10.2,4.8,9.2,81441,4.5,0.91,13.34,1.18,70.48,55334,9.56,35.6%,2.2%,1.1%,0
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Sfax,0.16,0.82,35061,31.7,5.9,13.5,10999,1.8,1.25,18.95,1.41,77.79,5886,11.96,67.2%,0%,0.5%,0.01
Khon Kaen University,0.06,0.23,246818,27,4,31.9,157115,4.3,0.8,20.15,1.02,92.39,13529,20.15,39.1%,1.2%,0.8%,0.01
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,0.03,0.06,112474,17.3,1.3,2.9,72124,1.4,0.59,1.91,0.7,32.98,65920,0.2,23.8%,12.1%,0.4%,0.01
Universitas Padjadjaran,0.03,0.05,66005,12.1,2.9,1.6,14913,2,0.64,2.71,0.75,34.94,10440,0.3,28.2%,13.6%,0.8%,0.01
Universidad Nacional de Cordoba,0.06,0.01,83677,9.1,11.1,1.5,1255,7.9,0.97,4.65,1.11,36.16,837,4.08,45.9%,1%,1.1%,0
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.34,0.19,236832,8.5,18.1,6.5,33462,22.4,0.8,12.48,0.98,79.45,10459,5.95,28.1%,0.8%,2.5%,0
University of Antioquia,0.05,0.12,-,20.3,0.7,5.7,434854,2.3,1.08,8.5,1.02,56.91,109823,10.73,49%,5.1%,0.1%,-
University of Calcutta,2.25,1.65,188569,14.8,16.3,7.1,74213,4.4,0.85,9.58,1.08,68.66,18022,5.62,18.1%,0%,0.5%,0
Kangwon National University,0.06,0.3,632271,22.3,1.4,13.1,212522,2.3,0.93,16.36,1.15,81.91,10202,31.5,29.9%,2.2%,1.6%,0
University of Central Lancashire,0.06,0.1,-,7.4,0.5,4.9,3905,0,1.2,7.38,1.42,34.37,369,11.03,62.2%,10.1%,14.9%,-
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
