,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Thammasat University,0.02,0.1,850253,20.1,8.4,10.4,367165,5.3,0.93,12.48,1.14,60.91,33703,3.83,35.9%,6.8%,4.7%,0.04
Ankara University,0.05,0.09,615436,18.5,1.9,3.6,98118,2.3,1.05,9.87,1.53,33.4,35074,2.79,35.7%,2.6%,4%,0.01
Universidade Estadual de Londrina,0.12,0.19,114766,11.7,0.3,7.8,24762,0.3,0.86,4.17,1.2,37.87,11513,1.87,21.7%,2.4%,0.6%,0
Universidade Federal da Bahia,0.07,0.17,375567,28.6,1.9,4.3,11245,2,0.8,4.77,1,39.09,-,2.63,28.2%,3.3%,0.3%,0
Universidad Nacional de Educacion a Distancia,0.51,0.22,-,20.8,0.1,12,-,0.2,0.95,9.49,1.11,51.77,-,10.12,33.8%,2.3%,4%,0
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.04,8,38.2,13.3,4.4,3,13.4,0.96,10.46,1.19,43.99,2,2.03,41.6%,4.3%,0.2%,0
Marmara University,0.03,0.06,300396,25.8,0.4,4.5,98039,2.6,1.05,8.73,1.25,43.23,30554,4.95,26.5%,0.8%,5.4%,0.01
University of Tunis El Manar,0.77,0.94,209161,10.2,10.1,24.2,102986,10.1,0.88,22.74,0.97,85.56,71885,12.42,59.1%,17.5%,8.5%,0.16
Obafemi Awolowo University (OAU),0.02,0.08,63962,27.1,0.9,5.9,4420,0.7,0.92,5.75,1.08,36.57,0,1.08,49.7%,0%,0%,0
Rowan University,0.02,0.1,529946,26,1.8,9.5,115913,0,0.94,6.54,1.21,44.87,6188,9.43,30.4%,36.2%,6.2%,0
Chungbuk National University,0.05,0.19,457945,19.5,1.7,11.7,177147,1.7,0.88,14.46,1.05,67.52,15832,17.48,29.3%,0%,1.1%,0
Mohammed V University of Rabat,0.2,0.4,158164,15.7,3.1,14.4,48038,3.1,1.05,29.08,1.34,80.73,37804,1.93,36.7%,0.7%,2.1%,0.03
Kaunas University of Technology,0.06,0.13,195499,13.2,1.9,4.5,78659,3.8,1.06,9.78,1.23,43.91,17118,5.35,49.3%,1.1%,14.5%,0.02
Universidade Federal de São Carlos,0.14,0.28,273369,24.8,8,12.1,42350,8.7,0.95,15,1.22,69.72,2025,18.6,34%,1.7%,0.8%,0
Tamkang University,0.01,0.06,262746,28.3,1.1,7.7,62573,1,1.2,10.14,1.11,48.74,17435,14.63,46.6%,0.6%,2.6%,0
University of Sfax,0.08,0.18,12301,9.4,3.6,13.1,2646,3.1,0.97,23.22,1.15,83.14,1344,7.39,64.5%,0%,1.1%,0.02
Khon Kaen University,0.03,0.11,229877,19.2,5.6,10.4,50817,7.1,1.18,16.73,1.39,61.79,27304,3.26,33.9%,1%,1.2%,0.01
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,0.01,0.04,128131,16.6,1.5,8.2,83693,1,0.89,8.62,1.09,47.58,75186,0.4,30.7%,25.3%,1.8%,0.03
Universitas Padjadjaran,0.1,0.21,317708,10,0.9,7.5,61752,0.4,0.65,4.8,0.84,46.09,35826,0.36,24.2%,19.5%,2.4%,0
Universidad Nacional de Cordoba,0.09,0.02,40659,9.9,2.9,0.6,895,4.8,0.73,1.16,0.9,13.69,895,2.16,45.2%,0.7%,2.8%,0
Universidad del Norte,0.02,0.08,400884,24.2,0.5,4.3,19272,0.3,1.02,5.04,1.3,27.64,8320,3.19,52.6%,2.6%,0.2%,0.04
Federal University of Viçosa,0.19,0.17,236939,14.2,5.4,2.9,33477,4.1,0.88,4.26,1.1,30.83,10464,3.23,25.4%,2.8%,1.1%,0
University of Antioquia,0.02,0.11,-,48.9,1.3,5.1,336846,1.6,0.86,6.65,1.14,43.03,48902,3.06,48.9%,1.7%,0.2%,-
University of Calcutta,0.35,0.54,209337,12.2,5,17.4,71709,4.9,0.84,16.44,1.06,79.61,23407,8.34,17.7%,0%,0.7%,0
Kangwon National University,0.02,0.13,630000,26,0.9,13.5,149616,2.6,0.88,15.47,1.07,71.02,8596,23.83,26%,1%,1.2%,0
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
