,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Pusan National University,0.11,0.73,1366449,21.6,14.7,32.8,770176,14.5,0.98,42.62,1.2,96.76,153832,204.85,29.6%,5%,8.3%,0.02
"University of the Sunshine Coast, Australia",0.02,0.06,299920,14.8,0.3,34.8,82682,0.3,1.23,18.04,1.44,64.08,4300,14.11,55.1%,26.8%,11.8%,0
Ege University,0.05,0.18,314475,20.1,2.3,7.8,41027,5.4,0.95,11,1.13,58.82,28229,25.65,27.8%,1.2%,5.9%,0.02
Chungnam National University,0.1,0.42,-,23.6,8.1,18.3,487973,9,0.87,22.85,1.1,85.89,94091,104.04,22.1%,0.5%,2.8%,0.01
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.01,0.05,-,46.6,1.8,3.8,496954,2.3,0.81,5.63,1.07,40.45,50531,10.35,49.3%,1.7%,0.1%,-
Universitas Sebelas Maret,0.02,0.04,135272,16.6,6.8,10.9,100569,7.5,0.82,11.31,1.02,58.85,86097,1.41,28.8%,31.9%,2.2%,0.03
Universitas Padjadjaran,0.18,0.24,219383,7.2,3.1,7.5,51887,2.9,0.69,5.63,0.87,48.22,49395,1.47,34.7%,43.6%,14.3%,0.03
Universidad Nacional de Cordoba,0.09,0.03,63269,10.1,9,0.5,2605,7.9,0.71,1.13,0.84,10.6,1461,6.15,46.5%,0.9%,2.7%,0
Universidad del Norte,0.01,0.05,414233,22,0.1,5.3,21250,0.1,1.05,6.06,1.26,32.38,11665,5.09,55.3%,3.5%,0.2%,0.05
Federal University of Viçosa,0.14,0.22,324223,18.1,6.9,4,47240,7.9,0.84,4.7,1.11,37.41,14665,9.24,25.4%,0%,1.1%,0.01
Mohammed V University of Rabat,0.12,0.26,166620,14.9,6.8,14.8,50606,6.3,1.08,33.58,1.38,81.3,39825,11.6,37.2%,0.7%,2.7%,0.03
University of Sfax,0.05,0.1,12281,9.5,8.6,11.9,2542,11.3,0.98,21.62,1.23,77.53,1438,24.1,67.1%,0.2%,1.5%,0.02
Khon Kaen University,0.04,0.15,211190,19.6,5.7,10.9,60050,8.1,1.18,18.86,1.46,62.1,31910,11.91,36.7%,0.5%,1.1%,0.03
Kangwon National University,0.01,0.08,746752,23,8.1,13.9,179584,7,0.9,16.3,1.12,73.61,10545,61.38,26.7%,0.5%,0.9%,0
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),0.06,0.21,86646,34.3,1,7.4,5078,1.5,0.92,7.49,1.01,44.79,2048,6.28,49.3%,0%,0.1%,0
Marmara University,0.04,0.12,358551,28.6,4.4,5.1,58099,2,1.07,9.22,1.29,48.42,33944,14.97,28%,0.8%,4.4%,0.02
University of Tunis El Manar,0.77,0.92,251437,8.4,12.8,24,125866,12.8,0.88,24.91,1.02,84.16,84975,37.41,60.9%,14.7%,9.9%,0.29
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0.01,9,39.4,15.7,5.3,4,24.1,0.97,14.36,1.23,52.08,2,9.39,39.5%,5.5%,0.2%,0
Universidade Federal de São Carlos,0.11,0.25,270773,22.3,15,12.5,43844,14.6,0.93,15.15,1.2,70.94,2968,43.05,36.6%,3.1%,0.8%,0.01
Tamkang University,0.02,0.08,213765,23.2,2.6,7.6,32157,1,1.26,11.25,1.09,50.45,7999,35.78,49.7%,1.1%,2%,0
Kaunas University of Technology,0.07,0.13,345569,12.9,7.9,5,107307,6.3,1.12,11.19,1.2,46.32,29870,16.59,51.7%,1.2%,15.4%,0.02
Rowan University,0.03,0.17,553702,24.2,4.4,10.5,136417,0.2,1.02,9.95,1.29,49.94,7964,23.75,31.6%,33.3%,6.7%,0
Chungbuk National University,0.06,0.27,726937,19.2,5.6,16.7,297018,4.3,0.95,19.44,1.13,77.19,15902,70.65,29.7%,0%,2%,0
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
