,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Universitas Sebelas Maret,0,0,77876,11.7,0.7,21.5,56204,1.2,0.52,3.89,0.56,66.68,46068,0.18,21.1%,29%,2.7%,0.02
Universitas Padjadjaran,0,0,182508,14.1,1.9,14.8,117748,2,0.72,5.92,0.89,46.02,111990,0.68,26.8%,10%,0%,0.01
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.27,0.29,144929,13.4,2.5,15.5,39165,2.2,0.88,17.57,1,82.36,18792,16.86,24.3%,4.5%,4%,0.03
University of Sfax,0.13,0.18,10149,15.2,3.7,12.8,1301,5.8,0.99,18.34,1.15,74.44,807,20.81,54.8%,0%,1.6%,0.01
Khon Kaen University,0.04,0.3,211442,45.2,0.4,29.3,25647,1.8,1.1,20.02,1.21,70.09,0,8.53,40.8%,3%,1.1%,0.05
Kangwon National University,0.01,0.21,1125432,40.5,0.8,29.4,172109,0.8,0.84,9.39,1.1,65.93,8870,57.77,21.4%,0%,2.4%,0
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marmara University,0.02,0.09,474195,50.1,1.5,11.8,11621,0.7,1.21,8.34,1.09,54.52,7710,8.63,24.7%,0%,7.6%,0
University of Tunis El Manar,0.24,0.5,226430,10.2,12,13.1,84632,11,0.88,15.39,0.97,69.11,50104,18.57,50.9%,9.8%,4%,0.14
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0.02,8,44.2,2.5,6.3,1,1.1,0.88,11.04,1.04,51.66,0,7.72,34.8%,1.4%,0%,0
Universidade Federal de São Carlos,0.47,0.16,221670,8.1,3.7,16.2,19305,4.4,0.78,7.03,0.91,61.84,4648,20.57,30.7%,1.7%,1.1%,0.01
Tamkang University,0,0.02,193577,23.4,0.8,11.5,11312,0.8,0.83,6.05,0.82,52.08,1110,33.76,32%,3.2%,11.6%,0
Kaunas University of Technology,0.01,0.06,321893,23.2,1.7,10.7,29723,0.9,1.23,13.52,1.32,52.66,13262,8.59,44.2%,1.6%,4.3%,0.01
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,0.07,0.29,579633,16.5,4.9,17.6,198088,3.3,0.94,13.75,1.08,70.32,7139,34.55,30.4%,2.5%,9%,0.01
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
